threads,size,time(usecs)
10,100000000,49316
10,100000000,50114
10,100000000,50350
12,100000000,54622
12,100000000,54009
12,100000000,53897
12,100000000,54038
12,100000000,53796
12,100000000,54203
12,100000000,53875
12,100000000,53746
12,100000000,53857
12,100000000,53980
12,100000000,53625
12,100000000,53921
12,100000000,54060
12,100000000,53436
12,100000000,54122
12,100000000,53719
12,100000000,53506
12,100000000,53854
12,100000000,54136
12,100000000,53156
16,100000000,54639
16,100000000,48415
16,100000000,48152
16,100000000,48251
16,100000000,48332
16,100000000,48037
16,100000000,48111
16,100000000,48354
16,100000000,48462
16,100000000,47706
16,100000000,47709
16,100000000,47938
16,100000000,47799
16,100000000,47782
16,100000000,47714
16,100000000,47949
16,100000000,47821
16,100000000,47844
16,100000000,47898
16,100000000,47831
20,100000000,52287
20,100000000,49188
20,100000000,47416
20,100000000,47517
20,100000000,47424
20,100000000,47423
20,100000000,47516
20,100000000,47354
20,100000000,47390
20,100000000,47573
20,100000000,47496
20,100000000,47593
20,100000000,47691
20,100000000,47860
20,100000000,47734
20,100000000,47630
20,100000000,47544
20,100000000,47777
20,100000000,47615
20,100000000,47472
24,100000000,51763
24,100000000,49463
24,100000000,49408
24,100000000,49351
24,100000000,49401
24,100000000,49351
24,100000000,49494
24,100000000,49504
24,100000000,49469
24,100000000,49441
24,100000000,49433
24,100000000,49578
24,100000000,49464
24,100000000,49397
24,100000000,49434
24,100000000,49418
24,100000000,49506
24,100000000,49607
24,100000000,49891
24,100000000,49568
28,100000000,52307
28,100000000,48462
28,100000000,48465
28,100000000,48389
28,100000000,48446
28,100000000,48286
28,100000000,48394
28,100000000,48242
28,100000000,48272
28,100000000,48495
28,100000000,48371
28,100000000,48342
28,100000000,48308
28,100000000,48586
28,100000000,48301
28,100000000,48289
28,100000000,48493
28,100000000,48132
28,100000000,48306
28,100000000,48116
32,100000000,53604
32,100000000,49398
32,100000000,49618
32,100000000,49527
32,100000000,49377
32,100000000,50911
32,100000000,49284
32,100000000,49061
32,100000000,49702
32,100000000,48983
32,100000000,49267
32,100000000,48965
32,100000000,49162
32,100000000,49204
32,100000000,49073
32,100000000,48871
32,100000000,49408
32,100000000,48968
32,100000000,48937
32,100000000,49330
38,100000000,55341
38,100000000,55541
38,100000000,55619
38,100000000,50523
38,100000000,50760
38,100000000,50502
38,100000000,50602
38,100000000,50617
38,100000000,50344
38,100000000,50437
38,100000000,49665
38,100000000,51370
38,100000000,50720
38,100000000,50418
38,100000000,50483
38,100000000,49875
38,100000000,50152
38,100000000,50260
38,100000000,50528
38,100000000,49721
40,100000000,52597
40,100000000,49445
40,100000000,50729
40,100000000,49628
40,100000000,49417
40,100000000,49594
40,100000000,49835
40,100000000,49900
40,100000000,49276
40,100000000,49374
40,100000000,49679
40,100000000,49510
40,100000000,49156
40,100000000,49459
40,100000000,49258
40,100000000,49412
40,100000000,51030
40,100000000,49356
40,100000000,49565
40,100000000,49513
2,1410065408,1287436
2,1410065408,1377444
2,1410065408,1380339
2,1410065408,1380908
2,1410065408,1381583
2,1410065408,1465783
2,1410065408,1376181
2,1410065408,1318525
2,1410065408,1508633
2,1410065408,1378569
2,1410065408,1378872
2,1410065408,1365967
2,1410065408,1374808
2,1410065408,1327759
2,1410065408,1350528
2,1410065408,1368900
2,1410065408,1383493
2,1410065408,1285736
2,1410065408,1369511
2,1410065408,1321382
4,1410065408,813536
4,1410065408,857025
4,1410065408,858132
4,1410065408,843054
4,1410065408,856429
4,1410065408,845339
4,1410065408,860683
4,1410065408,855504
4,1410065408,861123
4,1410065408,862118
4,1410065408,860824
4,1410065408,843102
4,1410065408,864027
4,1410065408,860816
4,1410065408,865462
4,1410065408,861692
4,1410065408,828631
4,1410065408,851751
4,1410065408,864715
4,1410065408,856282
6,1410065408,787584
6,1410065408,744521
6,1410065408,744744
6,1410065408,694993
6,1410065408,691692
6,1410065408,751934
6,1410065408,712538
6,1410065408,690292
6,1410065408,689534
6,1410065408,691029
6,1410065408,689622
6,1410065408,691602
6,1410065408,691082
6,1410065408,692143
6,1410065408,690357
6,1410065408,691489
6,1410065408,690782
6,1410065408,690603
6,1410065408,691733
6,1410065408,728705
8,1410065408,753838
8,1410065408,718562
8,1410065408,596336
8,1410065408,639625
8,1410065408,739084
8,1410065408,717826
8,1410065408,716542
8,1410065408,739317
8,1410065408,718315
8,1410065408,716939
8,1410065408,715458
8,1410065408,717266
8,1410065408,719523
8,1410065408,717649
8,1410065408,722185
8,1410065408,714222
8,1410065408,718226
8,1410065408,710531
8,1410065408,718535
8,1410065408,715651
10,1410065408,694919
10,1410065408,706496
10,1410065408,700705
10,1410065408,711029
10,1410065408,700507
10,1410065408,702576
10,1410065408,700712
10,1410065408,701669
10,1410065408,706194
10,1410065408,705582
10,1410065408,703454
10,1410065408,708391
10,1410065408,700070
10,1410065408,703636
10,1410065408,703192
10,1410065408,701364
10,1410065408,703296
10,1410065408,702995
10,1410065408,706604
10,1410065408,699160
12,1410065408,696103
12,1410065408,693192
12,1410065408,697471
12,1410065408,692835
12,1410065408,692988
12,1410065408,692056
12,1410065408,703081
12,1410065408,692575
12,1410065408,693455
12,1410065408,695746
12,1410065408,742771
12,1410065408,742324
12,1410065408,706517
12,1410065408,688783
12,1410065408,685684
12,1410065408,715981
12,1410065408,698996
12,1410065408,698489
12,1410065408,698121
12,1410065408,699083
16,1410065408,706770
16,1410065408,689574
16,1410065408,690556
16,1410065408,689564
16,1410065408,692108
16,1410065408,696910
16,1410065408,689870
16,1410065408,695761
16,1410065408,688244
16,1410065408,690589
16,1410065408,688511
16,1410065408,690659
16,1410065408,694792
16,1410065408,694023
16,1410065408,689502
16,1410065408,690739
16,1410065408,687746
16,1410065408,687386
16,1410065408,691763
16,1410065408,687406
20,1410065408,696007
20,1410065408,678377
20,1410065408,692706
20,1410065408,695751
20,1410065408,675969
20,1410065408,677538
20,1410065408,691927
20,1410065408,727181
20,1410065408,679282
20,1410065408,699143
20,1410065408,699528
20,1410065408,728590
20,1410065408,727027
20,1410065408,689254
20,1410065408,683793
20,1410065408,690253
20,1410065408,676838
20,1410065408,688360
20,1410065408,683055
20,1410065408,680212
24,1410065408,703651
24,1410065408,699022
24,1410065408,688920
24,1410065408,694179
24,1410065408,697603
24,1410065408,698440
24,1410065408,698557
24,1410065408,713730
24,1410065408,691643
24,1410065408,698823
24,1410065408,695314
24,1410065408,699858
24,1410065408,700783
24,1410065408,694823
24,1410065408,702693
24,1410065408,685858
24,1410065408,684225
24,1410065408,699614
24,1410065408,696625
24,1410065408,700736
28,1410065408,682120
28,1410065408,677326
28,1410065408,680223
28,1410065408,674403
28,1410065408,678612
28,1410065408,674095
28,1410065408,675482
28,1410065408,676391
28,1410065408,674257
28,1410065408,674771
28,1410065408,679915
28,1410065408,672859
28,1410065408,677965
28,1410065408,675327
28,1410065408,678322
28,1410065408,678796
28,1410065408,679057
28,1410065408,678908
28,1410065408,677085
28,1410065408,677819
32,1410065408,676422
32,1410065408,669773
32,1410065408,677540
32,1410065408,673569
32,1410065408,672000
32,1410065408,667788
32,1410065408,670911
32,1410065408,663880
32,1410065408,660607
32,1410065408,662007
32,1410065408,666686
32,1410065408,687627
32,1410065408,668442
32,1410065408,684518
32,1410065408,667298
32,1410065408,673481
32,1410065408,703341
32,1410065408,697012
32,1410065408,690173
32,1410065408,687488
38,1410065408,692661
38,1410065408,731551
38,1410065408,724692
38,1410065408,718594
38,1410065408,708866
38,1410065408,705165
38,1410065408,691597
38,1410065408,712020
38,1410065408,713623
38,1410065408,702437
38,1410065408,700772
38,1410065408,691064
38,1410065408,721760
38,1410065408,725873
38,1410065408,711417
38,1410065408,694550
38,1410065408,698321
38,1410065408,691439
38,1410065408,703643
38,1410065408,704304
40,1410065408,715978
40,1410065408,726163
40,1410065408,732651
40,1410065408,729725
40,1410065408,759769
40,1410065408,743220
40,1410065408,718614
40,1410065408,738574
40,1410065408,734234
40,1410065408,714161
40,1410065408,736040
40,1410065408,747796
40,1410065408,712932
40,1410065408,725843
40,1410065408,757662
40,1410065408,741720
40,1410065408,712307
40,1410065408,719509
40,1410065408,717748
40,1410065408,742361
